"","x"
"1","Why did Kattappa killed Bahubali This question might come in the next UPSC exam Bahubali"
"2","BajrangiBhaijaan released in 5K screens Bahubali 4200 screens bt still Bahubali reached 100c in 35hrs seems not fair thou "
"3","Bahubali worldwide ranking 10 in IMDB moviemeter no Indian films got this position before Congrats"
"4","Amazed how Bahubali got away with Demeaning Women Male protagonist ripped off her clothes amp told her she wasnt capable of doing the job"
"5","Bahubali ka wo Romantic Scene mera fav Scene haewo sirf film he hae real life nahi hae Bye"
"6","I want to watch Bahubali for fear of being labeled as antiHindu by the right wing but no shows in Hindi near me "
"7","he al add o mentioned note Hindi movies only bcz Bahubaliwas dubbed to hindi"
"8","not evn 2days just in 35hrs bro BB released in 5300screens where Bahubali just in 4k screens"
"9","watched 2 timesbahubali the words are being very swords and swiping the chord by"
"10","A great movie to watch and to read Available atBahubali gtmythology folktales"
"11","heee heee what a joke hindi speaking states r more then regional statescant digest sucess of Bahubalipity u"
"12","Finally watched bahubali Epic maker ssrajamouli rana the tallest villain prabhas the darling"
"13","GUYS I AM GOING TO THEATRE FOR WATCHING BAJRANGIBHAIJAn there is of crowd out of theatre BUT that crowd are came for watching Bahubali"
"14","I became such a big fan of the movie bahubaliBig big thanks to ssrajamouli and prabhas for such"
"15","Photo I became such a big fan of the movie bahubaliBig big thanks to ssrajamouli and prabhas for"
"16","heee heee what a joke hindi speaking states r more then regional statescant digest sucess of Bahubalipity u"
"17","heee heee what a joke hindi speaking states r more then regional statescant digest sucess of Bahubalipity u"
"18","Witnessing Bahubali Tamil at"
"19","Bahubali is still running stronger than BajrangiBhaijaan Didnt they know that anything with a bahu in it"
"20","How can any1 compare Bahubali with BajarangiBhaijaan if Bahubali has done same busines in 5languages whatever BB has done in Hindi only"
"21","How can any1 compare Bahubali withB B if Bahubali has done same busines in 5languages whatever BB has done in Hindi only"
"22","Bahubali awesome movie"
"23","Bahubali 1st 12 k graphics was awsome some seen was PraBhas when climing the big mountain highest peak really it peaks"
"24","dont insult south movie Bahubali Both ßßs story writer are same"
"25","pls dnt compare Bahubali withBajarangiBhaijaan if Bahubali has done same busines in 5languages whatever BB has done in Hindi onlyso"
"26","While SRK amp Salman fans are fighting Bahubali has better collections than both the films"
"27","BaHuBaLi biggest blockbuster prabhas INDIAN SUPER STAR B"
"28","fatherofstupidityThanks alot from teamBahubaliAtleast ur meaningless stupid tweets are keeping bahubali in news"
"29","Bahubali is not a bollywood movie"
"30","Barely managed tickets for bajrangibhaijaan Can you believe that its a Monday and nothing is available Not even Bahubali"
"31","BOCapsule EXCLUSIVE HUGE 59 cr plus in Hindi 2nd Weekend Box Office Collection Of BAHUBALI"
"32","Bahubalidid it in IndiaOverseas no idea"
"33","BajrangiBhaijaan is not as good as Bahubali"
"34","recommends RamyaKrishna for a powerful role in his next after seeing her dominating performance in Bahubali"
"35","BB 183 just 3 days or Bahubali 30565 9 days"
"36","Many people are trendingBAJRANGI BHAIJAAN FASTEST100CRThey Forget BAHUBALI Crossed it in only 36 HRS LOL"
"37","Bahubaliis the fastest"
"38","Bahubali Awesome movie Sir waiting for 2nd pa"
"39","Planning to watch Bahubali tooheard its pretty gud"
"40","Bahubali will collect 45C gross in 5 different territories Telangana Karnataka Tamil Nadu Andhra and US"
"41","Bahubalistorm why Bahubali killed bykattappa"
"42","Crossed 300 Crores Rs 3000000000 in just 9 daysBahubali"
"43","Did BajrangiBhaijaan beat Bahubali"
"44","Bahubali is realy an epic saga The VFX PROUD OF INDIA"
"45","no doubt bajrangibhaijaan is awesome but bahubali is gemkaha salman khan aur kaha south indianstill bahubali"
"46","idiot and liar critic you arednt forget bahubali 2 day collection in India is more than 3 day of bajrangibhaijaan"
"47","Havent seen a movie shittier than Bahubali in a long long time"
"48","All set to watch bahubali the most trending Indian movie right now Gotta be a good one"
"49","Its second Monday Bahubali Hindi version tickets are not exactly freely available Advance booking is a precautionary must Crazy"
"50","Bahubali Pa2 is coming soon"
"51","Seated to watch bahubali"
"52","dont shout and shutup First think Bahubali is an indian film Dont divide as south and noth india"
"53","jal gayi aapki Succes of bahubali indicates ppl welcum good script irrespective of language Samjhe"
"54","Bahubali is not only Technical Masterpiece but also grate cultural showcase"
"55","on 19th July BajrangiBhaijaan beats hindi screen records of Bahubali at 100Cr plus"
"56","Bahubali total WW business for the first 10 days APTG120crKarn55crTN35crKerala10crNoh"
"57","very proudsir respect salute unmayana ulaipuku kidaitha maberum vetrimy heaful wishes the entire team Bahubali"
"58","If BajrangiBhaijaan does 300Cr Bahubali will have to do Atleast 450Cr to match the profit"
"59","Bonanza for movie buffs with 2 good movies releasesd almost at the same time Bahubali BajrangiBhaijaan"
"60","Can S S Rajamoulis Bahubali beat Gerard Butlers 300 Find more info"
"61","Can S S Rajamoulis Bahubali beat Gerard Butlers 300 Find more info"
"62","Can S S Rajamoulis Bahubali beat Gerard Butlers 300 Find more info"
"63","Can S S Rajamoulis Bahubali beat Gerard Butlers 300 Find more info"
"64","5 Postmoem Bahubali Your My Fav DirectorIn TeluguMovies But This Is No MughalEAzam Which Achieved The Status In 1960"
"65","actually Bahubali is now over Rs 300 Crore"
"66","pranam sir awesome song n awesomely sung by uKaun hai woh Bahubali"
"67","Bahubali could have grossed more had BajrangiBhaijaan not consumed maximum screens "
"68","anushka hats off to allreally an amazing bahubali cant to describe in words"
"69","4 Postmoem Bahubali Look Of The Movie Can Be Achieved With Technology But Where Is The Content Can Fool Any1 By Looking Great amp Cool"
"70","Bahubali is sweeping the Noh alsoread this Hindu story Bahubali Bahubalistorm"
"71","lol Bahubali collected 100cr including all versions but BB is monolingual fastest100crBajrangibhaijaan"
"72","Bahubali 10 days worldwide gross collection is around 330crBecame 7th highest Indian movie"
"73","3 Postmoem Bahubali No Doubt Its Is One Of The Best Looked Movie On Screen Though Many Of The Scenes Inspired From Hollywood Movies"
"74","EXCLUSIVE HUGE 59 cr plus in Hindi 2nd Weekend Box Office Collection Of BAHUBALI"
"75","Bahubali Enters 300 Crore Club Shatters Rajinikanths Enthiran Record"
"76","2 Postmoem Bahubali Those Hav SeenEarlier Movies Eega MaryadaRamanna Maghadheera Wil Surely Confirm Wer Better Scripts"
"77","First south Indian Bahubali film to enter the Rs300 crore clubbahubali"
"78","Movies like Bahubali need not b released during any festival timeY dnt u admit Bahubali is mch bettr thand BB"
"79","Kotagiri Venkateshwara rao is the most so out editor of TFI bahubali and nowSrimanthudu he has over 30 years of experience in TFI"
"80","there cannot compression between Bahubali and BajrangiBhaijaan bcoz both r big movie"
"81","There was a conspiracy to show Bahubali On TV by Various cable operator n Bollywood so that business of Bajrangi Bhaijaan is not affected"
"82","PostMeem Bahubali All Those Raving About This Movie Actually Weakest Story OfHe Has Given Much Better In Terms Of Script"
"83","bahubali boxofficebeats Rajnikanth starrer Enthirans record"
"84","bahubali boxofficebeats Rajnikanth starrer Enthirans record"
"85","Expected Since Bahubali is being appreciated for its ethnic Cultural connect Some AdarshLiberal had 2 puke"
"86","of course not compareable  Bahubali watch 100 times not enough BajarangiBhaijaan 2 times ok BahubaliBest  BB Good"
"87","Bahubali What A Movie What a wonderful MovieJust Superb"
"88","that speaks for itself bb is hit in hindi only Bahubaliis a super hit nationally ur thoughts"
"89","BajrangiBhaijaan is a great movie but Bahubali is far superior movie across all depamentsAsk any ardent movie fan"
"90","Baahubali has grossed 335 billion US53 million worldwide in 10 days wbotwit Bahubali"
"91","Comparison is between the movies not just the collectionsand Bahubali is better than BajrangiBhaijaan admit it"
"92","Noticed a lot of hoysala lions in Bahubalibut the use of Greek style lions like those in Europe and Hellenic civilisation is predominant"
"93","How can any1 compare Bahubali with BajarangiBhaijaan if Bahubali has done same busines in 5languages whatever BB has done in Hindi only"
"94","I have already watched Bahubali 3 times in one week and I still have the hunger to watch it again Cant get it out of my head"
"95","to 2 d collections of bahubaliTu chal mai aayaI laughed criedloved characters inActEarnRepeat"
"96","Bahubali Bahubalistorm recorded the highest openingweekend performance for an Indian film at the US box office"
"97","Why do critics forget the era in which Bahubali is set now someone will tell it suppos feudualism"
"98","Well wait Bahubali had a rape scene"
"99","After watching Bahubali I m feeling all KHANs as C grade stars"
"100","bahubalivsBhajrangiBhaijaanBahubali Bahubalistorm BhajrangiBhaijaan Fastest100crBajrangiBhaijaanWHO WIN"
"101","makes her point forcefully and logically Bahubali"
"102","Most Common Conversation in India Now daysBahubali"
"103","As of Saturday the film has grossed Rs 303 crore worldwide Bahubali"
"104","its not about versioni am asking did it match Bahubali or notmy answer is NO Even salman agreed BB cant match it"
"105","Braving the BajrangiBhaijaan storm Bahubalihindi does well in its 2nd wknd at the BO by collecting 13crscnboc is 55crs aprox"
"106","Bahubalibecome the first south Indian film to enter the Rs 300crore club in just nine days"
"107","Bahubali fastest"
"108","BajrangiBhaijaan will do 100Cr weekend business in Hindi language only when Bahubali has done it with 5 languages release"
"109","In for bahubalisuper crowd at theatre thumbsup reviews from audiences"
"110","Monday BoxofficeBahubali Rock SteadyMadhranaranga and KL10patthu AverageLove247 Below AverageAchadhin Moving To Disaster"
"111","Bahubali a mst watch movieawsm actingawsm movie set"
"112","How you perceive women says a lot about the society we are a pa of Very unfounate india films Bahubali"
"113","got it the other day Try Bahubali at Mohini Gajuwaka Vizag It has Dolby Atmos Was great Use book my showeasy"
"114","did it beat Bahubali"
"115","Still finds difficult to get the tickets on Vizag Bahubali"
"116","Celebs at Special Screening of Bahubali Photos Bahubali Ranveer Singh Anil Kapoor and"
"117","My neighbors daughtr in law is very scared of her mothr in lawI asked her the reason amp she saidKyonki Saas bhi kabhi Bahubali thhi"
"118","Bollywood stars selected extended weekend ampfestivals for their movies But Bahubali gets 50cr on random day"
"119","Salman finds Baahubali numbers scaryBahubali"
"120","Havent yet seen Bahubali but sad to see ceain sections politicizingmaligning even a film Cmon keep calm amp appreciate the effos"
"121","bahubali is great film"
"122","clashofclans should have a Bahubali character Dont you think"
"123","Show tym Bahubali in sreeeamlu BharathNagar"
"124","My take on Bahubali on my WordPress blog Irfinity"
"125","Could u pl give us the total break up of BahubaliThanks"
"126","Going to watch Bahubali"
"127","Bahubali Hindi2nd Sunday Box Office Collections"
"128","sir plz launch background music Edition of bahubali bcz this time we dont want 2do piracy n all"
"129","Immoals of Meluha is the story with the potential to be the next classic with technological genius like Bahubali"
"130","Terribly MisInformed Guys R Trending This Fastest100crBajrangiBhaijaanWakeUpBAHUBALI holds the record of fastest 50C100C200C amp 300C"
"131","i request Bahubali Team to launch Special edition of Background music its very demanding in market Kindly Response"
"132","What a film bahubali largehanlife"
"133","goosebumps Bahubali"
"134","Bahubali enters 300 cr Club"
"135","Bahubali9days 300cr nettalltimeblockbuster    uperbbb"
"136","Seeing that Bahubali making Bahubalistorm in india and also usa would make every indian proud and what our directors can do"
"137","agar Bhai ki BB nahi hothi tho100cr collect kar lethi but anyways 70 for dubbing movie is still a record bahubali"
"138","Bahubaliall the way BahubalistormBajrangi bhaijan is a mediocre masala film not woh watching"
"139","Sir Plz release Hindi version baahubali in ChennaiPpl r dying 2 watch the movie hereBaahubali Bahubali"
"140","Baahubali 2nd Weekend Collection at Box Office Prabhas film Inches Closer to Rs 350Crore Markbaahubali bahubali"
